day,date,time,type,source_bank,source_account,dest_bank,dest_account,amount,status,description,ref
7,2026-03-03,14:51,T,BANK_C,ACT-C-001,BANK_C,ACT-C-003,42616.61,00,Margin account funding,
8,2026-03-04,13:26,W,BANK_C,ACT-C-007,BANK_C,ACT-C-007,308.59,00,Wire fee,
8,2026-03-04,16:24,T,BANK_C,ACT-C-002,BANK_C,ACT-C-004,6235.27,00,Portfolio rebalance,
9,2026-03-05,08:18,T,BANK_C,ACT-C-001,BANK_C,ACT-C-006,49760.61,00,Portfolio rebalance,
9,2026-03-05,10:12,D,BANK_C,ACT-C-004,BANK_C,ACT-C-004,24557.91,00,Advisory fee rebate,
9,2026-03-05,10:42,D,BANK_C,ACT-C-004,BANK_C,ACT-C-004,16009.91,00,Portfolio income,
9,2026-03-05,14:32,W,BANK_C,ACT-C-005,BANK_C,ACT-C-005,2342.77,00,Account maintenance,
9,2026-03-05,15:10,D,BANK_C,ACT-C-003,BANK_C,ACT-C-003,8219.09,00,Trust distribution,
9,2026-03-05,17:03,D,BANK_C,ACT-C-005,BANK_C,ACT-C-005,21697.45,00,Advisory fee rebate,
9,2026-03-05,17:31,W,BANK_C,ACT-C-002,BANK_C,ACT-C-002,1646.66,00,Account maintenance,
10,2026-03-06,12:09,D,BANK_C,ACT-C-002,BANK_C,ACT-C-002,17180.58,00,Portfolio income,
10,2026-03-06,17:46,D,BANK_C,ACT-C-006,BANK_C,ACT-C-006,6520.58,00,Trust distribution,
11,2026-03-09,08:43,D,BANK_C,ACT-C-007,BANK_C,ACT-C-007,10592.59,00,Trust distribution,
11,2026-03-09,10:03,W,BANK_C,ACT-C-005,BANK_C,ACT-C-005,1163.59,00,Account maintenance,
12,2026-03-10,15:05,W,BANK_C,ACT-C-006,BANK_C,ACT-C-006,2619.99,00,Advisory fee,
13,2026-03-11,10:17,D,BANK_C,ACT-C-001,BANK_C,ACT-C-001,18339.93,00,Advisory fee rebate,
13,2026-03-11,11:27,D,BANK_C,ACT-C-001,BANK_C,ACT-C-001,21640.86,00,Trust distribution,
13,2026-03-11,11:29,T,BANK_C,ACT-C-008,BANK_C,ACT-C-004,40876.45,00,Tax-loss harvest proceeds,
13,2026-03-11,12:12,D,BANK_C,ACT-C-006,BANK_C,ACT-C-006,20698.88,00,Trust distribution,
13,2026-03-11,13:20,W,BANK_C,ACT-C-008,BANK_C,ACT-C-008,2079.15,00,Wire fee,
13,2026-03-11,13:25,D,BANK_C,ACT-C-002,BANK_C,ACT-C-002,9131.55,00,Advisory fee rebate,
13,2026-03-11,15:01,D,BANK_C,ACT-C-007,BANK_C,ACT-C-007,20686.28,00,Portfolio income,
13,2026-03-11,16:05,T,BANK_C,ACT-C-004,BANK_C,ACT-C-005,36599.98,00,CD maturity rollover,
14,2026-03-12,08:27,T,BANK_C,ACT-C-005,BANK_C,ACT-C-007,8278.31,00,CD maturity rollover,
14,2026-03-12,09:26,T,BANK_C,ACT-C-001,BANK_C,ACT-C-006,36842.25,00,CD maturity rollover,
14,2026-03-12,10:28,T,BANK_C,ACT-C-001,BANK_C,ACT-C-005,10318.42,00,CD maturity rollover,
14,2026-03-12,11:35,W,BANK_C,ACT-C-007,BANK_C,ACT-C-007,869.91,00,Custodian fee,
14,2026-03-12,13:39,W,BANK_C,ACT-C-005,BANK_C,ACT-C-005,1392.53,00,Wire fee,
14,2026-03-12,14:28,D,BANK_C,ACT-C-008,BANK_C,ACT-C-008,15029.0,00,Quarterly dividend,
14,2026-03-12,17:05,T,BANK_C,ACT-C-005,BANK_C,ACT-C-004,3207.61,00,CD maturity rollover,
14,2026-03-12,17:12,W,BANK_C,ACT-C-008,BANK_C,ACT-C-008,2739.02,00,Custodian fee,
14,2026-03-12,17:37,W,BANK_C,ACT-C-002,BANK_C,ACT-C-002,1876.9,00,Wire fee,
14,2026-03-12,17:51,W,BANK_C,ACT-C-006,BANK_C,ACT-C-006,336.4,00,Wire fee,
15,2026-03-13,08:17,W,BANK_C,ACT-C-002,BANK_C,ACT-C-002,2390.64,00,Tax preparation,
15,2026-03-13,10:13,W,BANK_C,ACT-C-004,BANK_C,ACT-C-004,1959.44,00,Custodian fee,
15,2026-03-13,10:20,D,BANK_C,ACT-C-002,BANK_C,ACT-C-002,20203.43,00,Portfolio income,
15,2026-03-13,11:12,D,BANK_C,ACT-C-001,BANK_C,ACT-C-001,20303.88,00,Advisory fee rebate,
15,2026-03-13,14:11,W,BANK_C,ACT-C-005,BANK_C,ACT-C-005,2123.19,00,Custodian fee,
15,2026-03-13,15:15,T,BANK_C,ACT-C-007,BANK_C,ACT-C-003,35225.24,00,Portfolio rebalance,
15,2026-03-13,16:16,T,BANK_C,ACT-C-001,BANK_C,ACT-C-007,48506.23,00,Portfolio rebalance,
15,2026-03-13,16:50,T,BANK_C,ACT-C-002,BANK_C,ACT-C-006,44012.88,00,CD maturity rollover,
16,2026-03-16,08:23,T,BANK_C,ACT-C-007,BANK_C,ACT-C-002,16718.27,00,Margin account funding,
16,2026-03-16,11:28,D,BANK_C,ACT-C-008,BANK_C,ACT-C-008,20147.09,00,Portfolio income,
16,2026-03-16,11:54,T,BANK_C,ACT-C-003,BANK_C,ACT-C-005,23984.57,00,Portfolio rebalance,
16,2026-03-16,15:21,T,BANK_C,ACT-C-002,BANK_C,ACT-C-007,7697.56,00,Margin account funding,
16,2026-03-16,16:26,T,BANK_C,ACT-C-005,BANK_C,ACT-C-003,1557.51,00,Tax-loss harvest proceeds,
16,2026-03-16,17:56,D,BANK_C,ACT-C-007,BANK_C,ACT-C-007,12744.7,00,Portfolio income,
17,2026-03-17,08:19,D,BANK_C,ACT-C-006,BANK_C,ACT-C-006,10158.69,00,Quarterly dividend,
17,2026-03-17,09:26,D,BANK_C,ACT-C-008,BANK_C,ACT-C-008,24179.85,00,Advisory fee rebate,
17,2026-03-17,09:41,T,BANK_C,ACT-C-008,BANK_C,ACT-C-001,14968.43,00,Portfolio rebalance,
17,2026-03-17,11:04,D,BANK_C,ACT-C-001,BANK_C,ACT-C-001,24805.29,00,Trust distribution,
17,2026-03-17,12:52,W,BANK_C,ACT-C-005,BANK_C,ACT-C-005,1232.72,00,Advisory fee,
17,2026-03-17,14:51,D,BANK_C,ACT-C-005,BANK_C,ACT-C-005,19376.73,00,Advisory fee rebate,
17,2026-03-17,15:27,W,BANK_C,ACT-C-007,BANK_C,ACT-C-007,2659.49,00,Advisory fee,
17,2026-03-17,16:54,W,BANK_C,ACT-C-008,BANK_C,ACT-C-008,2203.82,00,Account maintenance,
18,2026-03-18,09:51,W,BANK_C,ACT-C-001,BANK_C,ACT-C-001,336.26,00,Account maintenance,
18,2026-03-18,10:55,T,BANK_C,ACT-C-008,BANK_C,ACT-C-001,20079.73,00,CD maturity rollover,
18,2026-03-18,11:29,W,BANK_C,ACT-C-001,BANK_C,ACT-C-001,1658.44,00,Account maintenance,
18,2026-03-18,13:06,D,BANK_C,ACT-C-003,BANK_C,ACT-C-003,14414.27,00,Portfolio income,
18,2026-03-18,14:40,D,BANK_C,ACT-C-003,BANK_C,ACT-C-003,8960.41,00,Trust distribution,
18,2026-03-18,15:40,D,BANK_C,ACT-C-006,BANK_C,ACT-C-006,22468.69,00,Advisory fee rebate,
19,2026-03-19,10:01,W,BANK_C,ACT-C-008,BANK_C,ACT-C-008,467.51,00,Wire fee,
